,dj,location,timestamp_start,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness
130,Marlon Hoffstadt,Melbourne,881,Andy Farley - Out Of Control (Original Mix),1177.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.0939178466797,287595.09375,1.066200613975525,Bb,minor,4543.42822265625
131,Marlon Hoffstadt,Melbourne,1177,Patrick Mason - Shred My Panties (Marlon Hoffstadt Edit),1409.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.0170135498047,309654.5625,0.9713743329048157,G,minor,4774.0615234375
132,Marlon Hoffstadt,Melbourne,1409,Darude - Sandstorm (Remix),1586.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",148.91659545898438,148370.0,1.1749001741409302,E,minor,2916.096923828125
133,Marlon Hoffstadt,Melbourne,1586,Voodoo & Serano - Blood is pumping,1807.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.18711853027344,188355.65625,1.3151357173919678,G,minor,3421.651611328125
134,Marlon Hoffstadt,Melbourne,1807,Vizionn - Run,2038.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",151.18408203125,329643.375,1.009253978729248,Ab,major,4978.400390625
135,Marlon Hoffstadt,Melbourne,2038,Luciana - I Like That (Marlon Hoffstadt Edit),2306.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",152.01470947265625,348775.71875,1.0416440963745117,A,major,5170.18505859375
136,Marlon Hoffstadt,Melbourne,2306,DJ Arne L II vs. DJ Mirko Milano - Cubus (Seven Of Nine),2461.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",151.81654357910156,207484.265625,0.9995824694633484,Bb,major,3650.733642578125
137,Marlon Hoffstadt,Melbourne,2461,Pegassi - Yoyoyo,2751.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",151.98939514160156,379711.8125,1.114113688468933,F#,minor,5473.1123046875
138,Marlon Hoffstadt,Melbourne,2751,Marlon Hoffstadt - Its that Time,3015.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",152.72959899902344,324623.1875,1.1279082298278809,F,major,4927.474609375
139,Marlon Hoffstadt,Melbourne,3015,Marlon Hoffstadt - Tell Me Daddy,3239.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",154.1862030029297,331751.8125,1.017911434173584,A,minor,4999.71240234375
140,Marlon Hoffstadt,Melbourne,3239,Drake - Hotline Bling (Marlon Hoffstadt Remix),3506.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",154.6959991455078,327064.4375,1.1084423065185547,A,minor,4952.27099609375
